age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
45,M,14 years,Stress and loneliness,Generation,Being alone drives you insane,Generation of people makes you feel a certain way,High paying jobs,Family,Streaming services,Physical health,Work,Bullying
44,F,14 years,Stress and depression,Kids,depression makes you give up,Kids bully,Traveling,Family,Social media,Lack of support,Work,Trauma
21,F,13 years,stress and financial,Money,Nonfinancial stability makes things difficult,Money is needed to have a good life,Basketball,Friends,Cell phone,Financial stability,Work,Bullying
23,F,18 years,anxiety and depression,Kids,Anxiety makes you weaker,Bullying,Cars,Friends,Cell phone,Lack of support,Providng for family,Trouble household
19,M,14 years,stress and society ,school,Society judges,School makes you want to give up,Gaming,Technology,Game systems,Financial stability,Relationship,Bullying
19,F,15 years,Stress and dissapointment,parents,Stress makes you sad,Parents have high expectations and that can drive you insane,Fashion,Family,Online shopping,Financial stability,Providing for family,Trauma
21,M,16 years,dissapointment and socialization,society,Dissapoint makes you think you arent good enough,Society Judges,Gaming,Technology,Game systems,Depression,Work,Bullying
20,M,16 years,isolation and sociialization,school,Isolation drives you away from everything,School is stressful,Gaming,Traveling,Streaming services,Lack of support,Providing for family,Bullying
23,F,12 years,mid life crisis,family,Mid life crisis make you want to give up,Family expects a lot from you and you want to make them proud,Traveling,Money,internet,Financial stability,Providing for family,Bullying
26,M,15 years,Stress and lifestyle,Comparing,lifestyle isnt how you planned,Comparing your life to others,Money,Technology,Social media,Depression,Relationship,Trouble household